
Host: ds10

Timers On : Tue Apr 13 14:26:32 2021
Timers Off: Tue Apr 13 14:26:53 2021

Wall Time:       21.57 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.567u      0.050s      0.305w     20 calls
Libint2ERI::Libint2ERI              :     19.317u      0.583s      2.104w    700 calls
DFH: initialize()                   :     23.850u      0.817s      2.515w     20 calls
DFH: AO Construction                :      6.817u      0.050s      0.686w     20 calls
DFH: AO-Met. Contraction            :      4.383u      0.183s      0.454w     20 calls
HF: Form core H                     :      1.383u      0.050s      0.157w     10 calls
HF: Form S/X                        :      0.117u      0.000s      0.013w     10 calls
HF: Guess                           :      0.617u      0.033s      0.066w     10 calls
SAD Guess                           :      0.583u      0.033s      0.063w      1 calls
HF: Form G                          :      6.900u      0.133s      0.707w    133 calls
JK: D                               :      0.050u      0.000s      0.007w    263 calls
JK: USO2AO                          :      0.067u      0.000s      0.006w    263 calls
JK: JK                              :     18.717u      0.350s      1.923w    263 calls
DFH: compute_JK()                   :     18.700u      0.350s      1.921w    263 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    263 calls
DFH: compute_J                      :      5.433u      0.033s      0.514w    263 calls
DFH: compute_K                      :     10.983u      0.150s      1.133w    263 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    263 calls
HF: Form F                          :      0.050u      0.000s      0.006w    133 calls
HF: Form D                          :      0.000u      0.000s      0.003w    133 calls
HF: DIIS                            :      3.483u      0.117s      0.410w    132 calls
DIISManager::add_entry              :      2.333u      0.100s      0.295w    123 calls
DIISManager::extrapolate            :      0.317u      0.000s      0.043w    123 calls
bMatrix setup                       :      0.133u      0.000s      0.018w    123 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.007w    123 calls
New vector                          :      0.117u      0.000s      0.016w    123 calls
HF: Form C                          :      1.433u      0.033s      0.139w    132 calls
DFMP2 Singles                       :      0.033u      0.000s      0.002w     10 calls
DFMP2 Aia                           :      7.900u      0.217s      0.818w     10 calls
DFMP2 (A|mn)                        :      3.117u      0.000s      0.312w     10 calls
DFMP2 (A|mn)C_mi                    :      0.150u      0.000s      0.013w     10 calls
DFMP2 (A|mi)C_na                    :      0.033u      0.000s      0.006w     10 calls
DFMP2 Aia Write                     :      0.167u      0.050s      0.020w     10 calls
DFMP2 iaB                           :      3.633u      0.200s      0.397w     10 calls
